date,name,session,url
2014-03-17,SPECIAL ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2014-12-09,SPECIAL ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2015-03-17,SPECIAL ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2015-03-17,SPECIAL ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2015-03-17,SPECIAL ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2015-09-28,SPECIAL ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2015-11-30,SPECIAL ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2016-04-05,SPECIAL ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2016-06-07,PRIMARY ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2016-11-08,GENERAL ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2011-02-15,SPECIAL ELECTION,2011,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2011
2011-02-15,SPECIAL ELECTION,2011,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2011
2011-03-08,SPECIAL ELECTION,2011,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2011
2012-06-05,PRIMARY ELECTION,2011,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2011
2012-11-06,GENERAL ELECTION,2011,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2011
2012-11-06,SPECIAL ELECTION,2011,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2011
2017-10-02,SPECIAL ELECTION,2017,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2017
2017-10-03,SPECIAL ELECTION,2017,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2017
2018-04-03,SPECIAL ELECTION,2017,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2017
2018-04-03,SPECIAL ELECTION,2017,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2017
2018-04-03,SPECIAL ELECTION,2017,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2017
2018-06-05,SPECIAL ELECTION,2017,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2017
2018-06-05,PRIMARY ELECTION,2017,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2017
2018-06-05,SPECIAL ELECTION,2017,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2017
2018-10-01,SPECIAL ELECTION,2017,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2017
2018-11-06,GENERAL ELECTION,2017,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2017
2007-05-15,SPECIAL ELECTION,2007,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2007
2007-12-11,SPECIAL ELECTION,2007,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2007
2008-02-05,PRIMARY ELECTION,2007,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2007
2008-06-03,RECALL ELECTION,2007,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2007
2008-06-03,PRIMARY ELECTION,2007,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2007
2008-11-04,GENERAL ELECTION,2007,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2007
2009-03-24,SPECIAL ELECTION,2009,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2009
2009-05-19,SPECIAL ELECTION,2009,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2009
2009-09-01,SPECIAL ELECTION,2009,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2009
2009-11-17,SPECIAL ELECTION,2009,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2009
2010-04-13,SPECIAL ELECTION,2009,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2009
2010-04-13,SPECIAL ELECTION,2009,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2009
2010-06-08,PRIMARY ELECTION,2009,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2009
2010-06-22,SPECIAL ELECTION,2009,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2009
2010-11-02,GENERAL ELECTION,2009,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2009
2010-11-02,SPECIAL ELECTION,2009,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2009
2005-09-13,SPECIAL ELECTION,2005,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2005
2005-11-08,SPECIAL ELECTION,2005,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2005
2006-04-11,SPECIAL ELECTION,2005,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2005
2006-06-06,PRIMARY ELECTION,2005,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2005
2006-11-07,GENERAL ELECTION,2005,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2005
2013-01-08,SPECIAL ELECTION,2013,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2013
2013-03-12,SPECIAL ELECTION,2013,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2013
2013-03-12,SPECIAL ELECTION,2013,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2013
2013-05-21,SPECIAL ELECTION,2013,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2013
2013-05-21,SPECIAL ELECTION,2013,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2013
2013-07-23,SPECIAL ELECTION,2013,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2013
2013-09-17,SPECIAL ELECTION,2013,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2013
2013-09-17,SPECIAL ELECTION,2013,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2013
2013-09-24,SPECIAL ELECTION,2013,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2013
2013-12-03,SPECIAL ELECTION,2013,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2013
2014-03-25,SPECIAL ELECTION,2013,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2013
2014-06-03,PRIMARY ELECTION,2013,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2013
2014-09-29,SPECIAL ELECTION,2013,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2013
2014-11-04,GENERAL ELECTION,2013,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2013
2000-03-07,PRIMARY ELECTION,1999,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=1999
2000-11-07,GENERAL ELECTION,1999,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=1999
2014-03-17,SPECIAL ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2014-12-09,SPECIAL ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2015-03-17,SPECIAL ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2015-03-17,SPECIAL ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2015-03-17,SPECIAL ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2015-09-28,SPECIAL ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2015-11-30,SPECIAL ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2016-04-05,SPECIAL ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2016-06-07,PRIMARY ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2016-11-08,GENERAL ELECTION,2015,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2015
2003-10-07,SPECIAL ELECTION,2003,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2003
2004-03-02,PRIMARY ELECTION,2003,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2003
2004-11-02,GENERAL ELECTION,2003,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2003
